panel,column,sample,estimator,learner,coef,se,t,p,stars,original_coef,original_se,ml_minus_original,n,valid_repeats,repeat_sd,se_diff,t_vs_original,p_vs_original,diff_stars,t_vs_original_seml_only
OLS vs ML-OLS,Column 2,full,ML-OLS,Gradient Boosting,-0.08188776549102511,0.03507226435297632,-2.3348297294661533,0.019552317464527347,**,-0.07616984395846732,0.029070346952003088,-0.00571792153255779,52,500.0,0.014549462946334218,0.04555380114496362,-0.12552018467925277,0.9001117463464354,,-0.16303257397387155
OLS vs ML-OLS,Column 5,full,Original OLS,Original,-0.10324781654256293,0.03386731162084493,-3.0485979430093035,0.002299119540025485,***,-0.10324781654256293,0.03386731162084493,0.0,52,,,,,,,
OLS vs ML-OLS,Column 5,full,ML-OLS,Linear,-0.124768955634869,0.03265438817675969,-3.8208939931591726,0.0001329688004816365,***,-0.10324781654256293,0.03386731162084493,-0.021521139092306074,52,500.0,0.026856452978351715,0.04704576350344334,-0.45745116009714487,0.6473467992445479,,-0.6590581019558893
OLS vs ML-OLS,Column 5,full,ML-OLS,Ridge,-0.11091767566700621,0.028658398718794914,-3.8703375145054264,0.00010868477705106017,***,-0.10324781654256293,0.03386731162084493,-0.007669859124443276,52,500.0,0.014597604367499113,0.04436551153259527,-0.1728788615185524,0.8627466475259911,,-0.26763041437528695
OLS vs ML-OLS,Column 5,full,ML-OLS,LASSO,-0.10463709641566532,0.03168647534267019,-3.302263671931889,0.0009590786855386835,***,-0.10324781654256293,0.03386731162084493,-0.0013892798731023892,52,500.0,0.018135620449347287,0.04637917114465354,-0.02995482322806757,0.9761030828280268,,-0.04384456958617714
OLS vs ML-OLS,Column 5,full,ML-OLS,Elastic Net,-0.10702508097266146,0.029417523468429845,-3.638140412720946,0.0002746137043634356,***,-0.10324781654256293,0.03386731162084493,-0.0037772644300985286,52,500.0,0.0149312538174476,0.04485961974247038,-0.08420188248993209,0.932895921495241,,-0.1284018498073842
OLS vs ML-OLS,Column 5,full,ML-OLS,Polynomial Ridge,-0.11417229241872201,0.0383790717196154,-2.9748581011241333,0.0029312410482666973,***,-0.10324781654256293,0.03386731162084493,-0.010924475876159079,52,500.0,0.023839469269279115,0.05118542705187484,-0.21342941742163177,0.8309920372757242,,-0.28464669380149754
OLS vs ML-OLS,Column 5,full,ML-OLS,SVR,-0.09400697363361787,0.03266619253177248,-2.877806268428218,0.0040045098119543265,***,-0.10324781654256293,0.03386731162084493,0.009240842908945057,52,500.0,0.011276177176206718,0.047053957654444395,0.19638821832603554,0.8443063171222513,,0.28288705210921156
OLS vs ML-OLS,Column 5,full,ML-OLS,Kernel Ridge,-0.11599112230415926,0.03202156506159662,-3.622281486899187,0.00029201610664975064,***,-0.10324781654256293,0.03386731162084493,-0.012743305761596324,52,500.0,0.007491435478820981,0.04660874837857677,-0.27341016879684443,0.7845379369064527,,-0.39796011647411134
OLS vs ML-OLS,Column 5,full,ML-OLS,Random Forest,-0.0976712430393548,0.03240902583634204,-3.0137049947928585,0.0025807862165350137,***,-0.10324781654256293,0.03386731162084493,0.005576573503208129,52,500.0,0.009050273185523844,0.04687579068222854,0.1189648947153079,0.9053031681805634,,0.17206853212338175
OLS vs ML-OLS,Column 5,full,ML-OLS,Extra Trees,-0.11046073131736464,0.030026058576290617,-3.678828875814803,0.00023430740975882713,***,-0.10324781654256293,0.03386731162084493,-0.00721291477480171,52,500.0,0.008164497915714013,0.045261009600430405,-0.15936265758272258,0.8733831578099447,,-0.24022183119622703
OLS vs ML-OLS,Column 5,full,ML-OLS,Gradient Boosting,-0.09359122412259768,0.033719080900612,-2.7756161088275393,0.005509722214155133,***,-0.10324781654256293,0.03386731162084493,0.009656592419965249,52,500.0,0.015043325528357842,0.04779091140798044,0.20205918103400572,0.8398704584381174,,0.2863836190680388
